Feature,Importance_Top5,Importance_Top10,Importance_Top20,Importance
lag_rider_rank_season,0.5511001447323652,0.7573687404441402,0.6332549212278099,0.6472412688014385
vertical_meters & rider_bmi,0.31349637331686697,0.3540995610109958,0.29442787333901665,0.32067460255562646
lag_rider_points_season,0.4224988072953004,0.2479723043079431,0.22801946668494236,0.2994968594293953
lag_race_competitiveness_median,0.20078710589270532,0.16138579236746453,0.1377416735856361,0.16663819061526866
rider_bmi,0.16148622376959154,0.16489546983279557,0.12667589076138613,0.15101919478792442
rider_bmi & gradient_final_km,0.13756950040308719,0.14808160142119542,0.15771543353084916,0.14778884511837725
age_at_race,0.14583267411696535,0.1490449348667943,0.113138105524417,0.13600523816939222
stage_nr,0.10129489367762456,0.12370842637145088,0.10723408200570703,0.1107458006849275
gradient_final_km & lag_rider_rank_season,0.0,0.11483593870100069,0.1214337060636346,0.07875654825487843
lag_team_power_index,0.04283557203897361,0.09902320331726637,0.081682652394542,0.07451380925026066
rider_bmi & weather_temp_trend,0.047658730812558954,0.0707919882968307,0.06604191486295101,0.06149754465744689
gradient_final_km & lag_rider_points_season,0.0,0.06202004095987064,0.0646777256301686,0.04223258886334641
vertical_meters,0.054501084462720506,0.04485245729224935,0.0065153404248511765,0.035289627393273675
gradient_final_km,0.015771556704570804,0.04312283927331025,0.03894316012323744,0.03261251870037283
age_at_race & lag_rider_points_season,0.04280621199340743,0.0,0.0,0.01426873733113581
wind_stability_index,0.00624332812296742,0.01829041811754524,0.010141426302203169,0.011558390847571943
stage_nr & rider_bmi,0.03192013779274491,0.0,0.0,0.01064004593091497
distance,0.009553946143091515,0.010350732995236636,0.008724478432632849,0.009543052523653665
weather_temp_trend,0.003276386738228342,0.01390307605639016,0.00901033719066995,0.008729933328429485
weather_temp_mean,0.005097544249311135,0.01341713191144198,0.0066842500644109576,0.00839964207505469
weather_humidity_mean,0.0022484739205576843,0.010766671474477092,0.011001665990315315,0.008005603795116696
weather_precipitation_mean,0.0022228422087301387,0.009880172002006957,0.007875335748173893,0.0066594499863036625
team_tier,0.0007558733654056966,0.004610047592072022,0.006132567646706782,0.0038328295347281674
weather_rain_prob_mean,0.0018460466536695662,0.006138597508774076,0.0023627819957402576,0.0034491420527279666
