variant_name,most_likely_disjoint_class,rows,scope
standard,outside_top20,14861,overall
standard,rank_11_20,122,overall
standard,rank_6_10,92,overall
standard,top5,2727,overall
standard,outside_top20,7494,2024
standard,rank_11_20,55,2024
standard,rank_6_10,49,2024
standard,top5,1335,2024
standard,outside_top20,7367,2025
standard,rank_11_20,67,2025
standard,rank_6_10,43,2025
standard,top5,1392,2025
thinking_medium_roc_auc,outside_top20,12493,overall
thinking_medium_roc_auc,rank_11_20,193,overall
thinking_medium_roc_auc,rank_6_10,2,overall
thinking_medium_roc_auc,top5,5114,overall
thinking_medium_roc_auc,outside_top20,6244,2024
thinking_medium_roc_auc,rank_11_20,89,2024
thinking_medium_roc_auc,rank_6_10,1,2024
thinking_medium_roc_auc,top5,2599,2024
thinking_medium_roc_auc,outside_top20,6249,2025
thinking_medium_roc_auc,rank_11_20,104,2025
thinking_medium_roc_auc,rank_6_10,1,2025
thinking_medium_roc_auc,top5,2515,2025
