explanation,feature,mean_abs_shap,mean_signed_shap,importance_rank
top20,lag_rider_points_season,0.10093093606586358,0.002642667916964511,1
top20,lag_rider_rank_season,0.09105805885350826,-0.0019381952825553521,2
top20,rider_bmi,0.03953778190538287,-0.003313543386377239,3
top20,age_at_race,0.03549893090919572,0.000529907483379454,4
top20,lag_team_power_index,0.0133607945887714,0.0016002439342591265,5
top20,team_tier,0.006920079057846139,0.00045410739257931767,6
top20,weather_precipitation_mean,0.0,0.0,7
top20,lag_race_competitiveness_median,0.0,0.0,8
top20,gradient_final_km,0.0,0.0,9
top20,weather_humidity_mean,0.0,0.0,10
top20,distance,0.0,0.0,11
top20,weather_rain_prob_mean,0.0,0.0,12
top20,vertical_meters,0.0,0.0,13
top20,weather_temp_mean,0.0,0.0,14
top20,wind_stability_index,0.0,0.0,15
top20,stage_nr,0.0,0.0,16
top20,weather_temp_trend,0.0,0.0,17
