explanation,feature,mean_abs_shap,mean_signed_shap,importance_rank,score_feature_order
score_topk_raw_sum,lag_rider_points_season,0.30490259122293517,0.004185850920193657,1,1
top10,lag_rider_points_season,0.09787571476658385,0.0013380180763042705,2,1
top20,lag_rider_points_season,0.10093093606586358,0.002642667916964511,1,1
top5,lag_rider_points_season,0.10966572772673501,0.00020516492692486597,1,1
score_topk_raw_sum,lag_rider_rank_season,0.26314655413356974,-0.0012044687067367785,2,2
top10,lag_rider_rank_season,0.10295706298088236,0.0023510746631239103,1,2
top20,lag_rider_rank_season,0.09105805885350826,-0.0019381952825553521,2,2
top5,lag_rider_rank_season,0.07221095957508196,-0.0016173480873053151,2,2
score_topk_raw_sum,age_at_race,0.10488369814557384,0.002697607387921644,3,3
top10,age_at_race,0.03085947833917274,0.0011746281145938804,4,3
top20,age_at_race,0.03549893090919572,0.000529907483379454,4,3
top5,age_at_race,0.03924153659416705,0.0009930717899483091,3,3
score_topk_raw_sum,rider_bmi,0.09944127283914354,-0.006745196059346193,4,4
top10,rider_bmi,0.03432362075819045,-0.003188644575373247,3,4
top20,rider_bmi,0.03953778190538287,-0.003313543386377239,3,4
top5,rider_bmi,0.038821095008859205,-0.00024300809759570782,4,4
score_topk_raw_sum,lag_team_power_index,0.04877160656208894,-0.001828970195231387,5,5
top10,lag_team_power_index,0.02281346550401377,-0.0023945294153325403,5,5
top20,lag_team_power_index,0.0133607945887714,0.0016002439342591265,5,5
top5,lag_team_power_index,0.01645008367315239,-0.0010346847141579749,5,5
