name,year,rider_url,corrected_team,corrected_team_class
Aketza Peña,2005,aketza-pena,,
Andrea Moletta,2005,andrea-moletta,,
Andrea Tonti,2005,andrea-tonti,,
Andrey Kashechkin,2005,andrey-kashechkin,,
André Korff,2005,andre-korff,,
David Blanco,2005,david-blanco,,
Denis Menchov,2005,denis-menchov,,
Maxim Iglinskiy,2005,maxim-iglinskiy,,
Sergio Ghisalberti,2005,sergio-ghisalberti,,
Serhiy Honchar,2005,serhiy-honchar,,
Theo Eltink,2005,theo-eltink,,
Thomas Ziegler,2005,thomas-ziegler,,
Aketza Peña,2006,aketza-pena,,
Andrea Moletta,2006,andrea-moletta,,
Andrey Kashechkin,2006,andrey-kashechkin,,
André Korff,2006,andre-korff,,
Assan Bazayev,2006,assan-bazayev,,
Denis Menchov,2006,denis-menchov,,
Maxim Iglinskiy,2006,maxim-iglinskiy,,
Sergio Ghisalberti,2006,sergio-ghisalberti,,
Serhiy Honchar,2006,serhiy-honchar,,
Theo Eltink,2006,theo-eltink,,
Thomas Ziegler,2006,thomas-ziegler,,
William Walker,2006,william-walker,,
Aketza Peña,2007,aketza-pena,,
Andrea Moletta,2007,andrea-moletta,,
Andrea Tonti,2007,andrea-tonti,,
Andrey Kashechkin,2007,andrey-kashechkin,,
André Korff,2007,andre-korff,,
Assan Bazayev,2007,assan-bazayev,,
Denis Menchov,2007,denis-menchov,,
José Antonio López,2007,jose-antonio-lopez,,
Maxim Iglinskiy,2007,maxim-iglinskiy,,
Sergio Ghisalberti,2007,sergio-ghisalberti,,
Theo Eltink,2007,theo-eltink,,
Thomas Ziegler,2007,thomas-ziegler,,
William Walker,2007,william-walker,,
Andrea Moletta,2008,andrea-moletta,,
Andrea Tonti,2008,andrea-tonti,,
Assan Bazayev,2008,assan-bazayev,,
Denis Menchov,2008,denis-menchov,,
Gabriele Bosisio,2008,gabriele-bosisio,,
José Antonio López,2008,jose-antonio-lopez,,
Maxim Iglinskiy,2008,maxim-iglinskiy,,
Sergio Ghisalberti,2008,sergio-ghisalberti,,
Theo Eltink,2008,theo-eltink,,
Assan Bazayev,2009,assan-bazayev,,
Denis Menchov,2009,denis-menchov,,
Gabriele Bosisio,2009,gabriele-bosisio,,
José Antonio López,2009,jose-antonio-lopez,,
Maxim Iglinskiy,2009,maxim-iglinskiy,,
Yukiya Arashiro,2009,yukiya-arashiro,,
Andrey Kashechkin,2010,andrey-kashechkin,,
Assan Bazayev,2010,assan-bazayev,,
Denis Menchov,2010,denis-menchov,,
Maxim Iglinskiy,2010,maxim-iglinskiy,,
Yukiya Arashiro,2010,yukiya-arashiro,,
Andrey Kashechkin,2011,andrey-kashechkin,,
David Blanco,2011,david-blanco,,
Denis Menchov,2011,denis-menchov,,
Matteo Rabottini,2011,matteo-rabottini,,
Maxim Iglinskiy,2011,maxim-iglinskiy,,
Andrey Kashechkin,2012,andrey-kashechkin,,
Assan Bazayev,2012,assan-bazayev,,
Cheng Ji,2012,cheng-ji,,
Denis Menchov,2012,denis-menchov,,
Matteo Rabottini,2012,matteo-rabottini,,
Maxim Iglinskiy,2012,maxim-iglinskiy,,
Yukiya Arashiro,2012,yukiya-arashiro,,
Alexey Lutsenko,2013,aleksey-lutsenko,,
Andrey Kashechkin,2013,andrey-kashechkin,,
Assan Bazayev,2013,assan-bazayev,,
Cheng Ji,2013,cheng-ji,,
Matteo Rabottini,2013,matteo-rabottini,,
Maxim Iglinskiy,2013,maxim-iglinskiy,,
Yukiya Arashiro,2013,yukiya-arashiro,,
Alexey Lutsenko,2014,aleksey-lutsenko,,
Cheng Ji,2014,cheng-ji,,
Matteo Rabottini,2014,matteo-rabottini,,
Maxim Iglinskiy,2014,maxim-iglinskiy,,
Merhawi Kudus,2014,merhawi-kudus,,
Natnael Berhane,2014,natnael-berhane,,
Yukiya Arashiro,2014,yukiya-arashiro,,
Cheng Ji,2015,cheng-ji,,
Merhawi Kudus,2015,merhawi-kudus,,
Natnael Berhane,2015,natnael-berhane,,
Yukiya Arashiro,2015,yukiya-arashiro,,
Alexey Lutsenko,2016,aleksey-lutsenko,,
Cheng Ji,2016,cheng-ji,,
Merhawi Kudus,2016,merhawi-kudus,,
Natnael Berhane,2016,natnael-berhane,,
Yukiya Arashiro,2016,yukiya-arashiro,,
Alexey Lutsenko,2017,aleksey-lutsenko,,
Merhawi Kudus,2017,merhawi-kudus,,
Natnael Berhane,2017,natnael-berhane,,
Yukiya Arashiro,2017,yukiya-arashiro,,
Alexey Lutsenko,2018,aleksey-lutsenko,,
Guy Sagiv,2018,guy-sagiv,,
Merhawi Kudus,2018,merhawi-kudus,,
Natnael Berhane,2018,natnael-berhane,,
Alexey Lutsenko,2019,aleksey-lutsenko,,
Natnael Berhane,2019,natnael-berhane,,
Yukiya Arashiro,2019,yukiya-arashiro,,
Aleksandr Vlasov,2020,aleksandr-vlasov,,
Alexey Lutsenko,2020,aleksey-lutsenko,,
Filippo Fiorelli,2020,filippo-fiorelli,,
Guy Sagiv,2020,guy-sagiv,,
Merhawi Kudus,2020,merhawi-kudus,,
Natnael Berhane,2020,natnael-berhane,,
Yukiya Arashiro,2020,yukiya-arashiro,,
Aleksandr Vlasov,2021,aleksandr-vlasov,,
Alexey Lutsenko,2021,aleksey-lutsenko,,
Andrii Ponomar,2021,andrii-ponomar,,
Filippo Fiorelli,2021,filippo-fiorelli,,
Gotzon Martín,2021,gotzon-martin,,
Natnael Berhane,2021,natnael-berhane,,
Yukiya Arashiro,2021,yukiya-arashiro,,
Aleksandr Vlasov,2022,aleksandr-vlasov,,
Alexey Lutsenko,2022,aleksey-lutsenko,,
Andrii Ponomar,2022,andrii-ponomar,,
Biniam Girmay,2022,biniam-girmay,,
Filippo Fiorelli,2022,filippo-fiorelli,,
Gotzon Martín,2022,gotzon-martin,,
Merhawi Kudus,2022,merhawi-kudus,,
Yevgeniy Fedorov,2022,yevgeniy-fedorov,,
Aleksandr Vlasov,2023,aleksandr-vlasov,,
Alexey Lutsenko,2023,aleksey-lutsenko,,
Biniam Girmay,2023,biniam-girmay,,
Filippo Fiorelli,2023,filippo-fiorelli,,
Romain Grégoire,2023,romain-gregoire,,
Yevgeniy Fedorov,2023,yevgeniy-fedorov,,
Yukiya Arashiro,2023,yukiya-arashiro,,
Aleksandr Vlasov,2024,aleksandr-vlasov,,
Alexey Lutsenko,2024,aleksey-lutsenko,,
Biniam Girmay,2024,biniam-girmay,,
Filippo Fiorelli,2024,filippo-fiorelli,,
Gotzon Martín,2024,gotzon-martin,,
Manuele Tarozzi,2024,manuele-tarozzi,,
Nadav Raisberg,2024,nadav-raisberg,,
Romain Grégoire,2024,romain-gregoire,,
Thomas Gachignard,2024,thomas-gachignard,,
Yevgeniy Fedorov,2024,yevgeniy-fedorov,,
Aleksandr Vlasov,2025,aleksandr-vlasov,,
Alexey Lutsenko,2025,aleksey-lutsenko,,
Biniam Girmay,2025,biniam-girmay,,
Filippo Fiorelli,2025,filippo-fiorelli,,
Manuele Tarozzi,2025,manuele-tarozzi,,
Nadav Raisberg,2025,nadav-raisberg,,
Romain Grégoire,2025,romain-gregoire,,
Thomas Gachignard,2025,thomas-gachignard,,
Yevgeniy Fedorov,2025,yevgeniy-fedorov,,
